Date,Gold,USD_IDR,DXY,Oil,SP500,NASDAQ,VIX,GVZ,Silver,Copper,Platinum,Palladium,US10Y,USD_CNY,Nikkei,DAX
2020-10-19,1906.4000244140625,14693.0,93.43000030517578,40.83000183105469,3426.919921875,11478.8798828125,29.18000030517578,21.329999923706055,24.656999588012695,3.0810000896453857,858.5999755859375,2348.300048828125,0.7609999775886536,6.696599960327148,23671.130859375,12854.66015625
2020-10-20,1910.4000244140625,14708.0,93.06999969482422,41.459999084472656,3443.1201171875,11516.490234375,29.350000381469727,21.540000915527344,24.937000274658203,3.1435000896453857,872.4000244140625,2408.5,0.796999990940094,6.680699825286865,23567.0390625,12736.9501953125
2020-10-21,1924.5999755859375,14688.0,92.61000061035156,40.029998779296875,3435.56005859375,11484.6904296875,28.649999618530273,22.65999984741211,25.19700050354004,3.194499969482422,889.0999755859375,2419.800048828125,0.8159999847412109,6.67519998550415,23639.4609375,12557.6396484375
2020-10-22,1901.0999755859375,14639.775390625,92.94999694824219,40.63999938964844,3453.489990234375,11506.009765625,28.110000610351562,21.3799991607666,24.665000915527344,3.1500000953674316,879.0,2388.60009765625,0.8479999899864197,6.650000095367432,23474.26953125,12543.0595703125
2020-10-23,1902.0,14639.8525390625,92.7699966430664,39.849998474121094,3465.389892578125,11548.2802734375,27.549999237060547,21.040000915527344,24.62700080871582,3.125499963760376,901.7000122070312,2391.39990234375,0.8410000205039978,6.683499813079834,23516.58984375,12645.75
2020-10-26,1902.699951171875,14642.7822265625,93.05000305175781,38.560001373291016,3400.969970703125,11358.9404296875,32.459999084472656,20.93000030517578,24.375999450683594,3.0885000228881836,872.5,2361.89990234375,0.8009999990463257,6.685699939727783,23494.33984375,12177.1796875
2020-10-27,1908.800048828125,14724.2001953125,92.94000244140625,39.56999969482422,3390.679931640625,11431.349609375,33.349998474121094,20.40999984741211,24.525999069213867,3.0899999141693115,882.0999755859375,2347.300048828125,0.777999997138977,6.711299896240234,23485.80078125,12063.5703125
2020-10-28,1876.199951171875,14653.2744140625,93.41000366210938,37.38999938964844,3271.030029296875,11004.8701171875,40.279998779296875,21.93000030517578,23.323999404907227,3.056999921798706,870.2999877929688,2244.300048828125,0.781000018119812,6.704400062561035,23418.509765625,11560.509765625
2020-10-29,1865.5999755859375,14777.2001953125,93.95999908447266,36.16999816894531,3310.110107421875,11185.58984375,37.59000015258789,21.899999618530273,23.339000701904297,3.052000045776367,845.4000244140625,2191.39990234375,0.8349999785423279,6.72790002822876,23331.939453125,11598.0703125
2020-10-30,1877.4000244140625,14818.0,94.04000091552734,35.790000915527344,3269.9599609375,10911.58984375,38.02000045776367,23.260000228881836,23.617000579833984,3.0434999465942383,844.5999755859375,2210.300048828125,0.8600000143051147,6.714000225067139,22977.130859375,11556.48046875
